"$20, 1 week","$20, 3 months","$20, 1 year","$20, tomorrow","$20, 1 month","$20, 6 months","$200, 1 week","$200, 3 months","$200, 1 year","$200, tomorrow","$200, 1 month","$200, 6 months",auc_20,auc_200,StudyID
19.84375,19.84375,9.84375,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.8644691780821918,0.9894691780821918,9
17.03125,9.84375,2.34375,19.84375,12.34375,4.84375,185.9375,85.9375,42.1875,198.4375,173.4375,98.4375,0.3363566638127854,0.4725242579908675,24
19.84375,19.84375,12.96875,19.84375,19.84375,19.84375,198.4375,195.3125,148.4375,198.4375,198.4375,195.3125,0.9035316780821918,0.9178545947488584,64
19.84375,17.96875,14.84375,19.84375,16.09375,16.09375,195.3125,179.6875,120.3125,198.4375,189.0625,195.3125,0.8154858732876712,0.860382776826484,66
19.84375,9.84375,9.84375,19.84375,14.84375,19.53125,198.4375,170.3125,182.8125,198.4375,182.8125,192.1875,0.7255903966894977,0.9199058219178082,68
18.90625,0.78125,0.15625,19.53125,0.15625,0.15625,23.4375,10.9375,1.5625,185.9375,35.9375,10.9375,0.06004209474885845,0.06695562214611872,74
19.84375,18.90625,18.90625,19.53125,19.53125,18.90625,195.3125,195.3125,195.3125,198.4375,195.3125,195.3125,0.9484749571917808,0.974015410958904,82
19.84375,8.90625,2.34375,19.84375,15.15625,4.53125,198.4375,151.5625,45.3125,198.4375,179.6875,23.4375,0.34262806792237444,0.4102900256849315,89
19.84375,8.59375,2.34375,19.84375,4.84375,2.34375,192.1875,48.4375,7.8125,198.4375,154.6875,23.4375,0.2388484589041096,0.24030750570776255,111
19.84375,19.21875,11.71875,19.84375,19.21875,16.09375,198.4375,198.4375,185.9375,198.4375,198.4375,192.1875,0.8074771689497717,0.9621254280821918,119
19.84375,19.84375,19.84375,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.9894691780821918,0.9894691780821918,125
19.84375,19.53125,17.34375,19.84375,18.59375,17.34375,198.4375,189.0625,185.9375,198.4375,185.9375,173.4375,0.9008757848173516,0.9099903681506848,129
19.84375,19.21875,18.90625,19.84375,19.53125,19.53125,198.4375,198.4375,195.3125,198.4375,198.4375,198.4375,0.9635773401826484,0.9855629280821918,130
17.96875,2.96875,3.28125,18.90625,7.34375,2.34375,179.6875,120.3125,45.3125,198.4375,151.5625,89.0625,0.2022367294520548,0.480777325913242,140
19.21875,17.96875,15.46875,19.84375,19.21875,15.78125,198.4375,198.4375,189.0625,198.4375,195.3125,192.1875,0.8342126855022831,0.9642283818493153,141
19.84375,1.09375,0.15625,19.53125,5.78125,0.15625,185.9375,1.5625,1.5625,185.9375,1.5625,1.5625,0.09764554794520548,0.05251676655251142,143
19.53125,6.40625,2.96875,19.84375,5.15625,5.78125,189.0625,82.8125,14.0625,198.4375,45.3125,45.3125,0.28950128424657534,0.2611979166666667,146
19.84375,19.53125,9.84375,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.8612139697488584,0.9894691780821918,155
19.53125,18.28125,12.03125,19.84375,18.90625,18.28125,198.4375,198.4375,189.0625,198.4375,195.3125,189.0625,0.8402004851598174,0.9583690068493153,1
16.71875,4.84375,1.09375,19.84375,4.84375,4.84375,189.0625,23.4375,1.5625,192.1875,48.4375,23.4375,0.22473958333333333,0.14425478025114155,3
19.84375,19.21875,14.84375,19.84375,17.03125,14.21875,198.4375,179.6875,98.4375,198.4375,182.8125,179.6875,0.7987603453196347,0.8007651969178082,5
4.84375,0.46875,1.09375,16.09375,2.34375,2.34375,95.3125,4.6875,4.6875,179.6875,20.3125,4.6875,0.09239797374429223,0.05784103881278539,22
19.84375,18.90625,18.90625,19.84375,19.84375,18.90625,198.4375,189.0625,189.0625,198.4375,195.3125,192.1875,0.9504066780821918,0.9544627568493153,33
19.84375,19.84375,19.84375,19.84375,19.84375,19.84375,198.4375,198.4375,198.4375,198.4375,198.4375,198.4375,0.9894691780821918,0.9894691780821918,37
19.84375,9.84375,9.53125,18.59375,8.28125,9.84375,192.1875,126.5625,51.5625,182.8125,132.8125,73.4375,0.5016606021689498,0.45686001712328766,43
