Gender,DoB,TaskDate,Race,Ethnicity,ExactAge,FlooredAge,AgeGroup,StudyID
Feminine,2005-01-13,2025-02-02,White,Not Hispanic,20.054794520547944,20,Adults,1
Feminine,2005-12-26,2025-02-03,White,Not Hispanic,19.106849315068494,19,Adults,2
Feminine,2005-01-07,2025-01-31,Black or African American,Not Hispanic,20.065753424657533,20,Adults,3
Masculine,2006-05-11,2025-02-17,White,Not Hispanic,18.77260273972603,18,Adults,4
Masculine,2006-01-08,2025-02-26,Asian,Not Hispanic,19.134246575342463,19,Adults,5
Masculine,2004-08-09,2025-02-24,White,Not Hispanic,20.54685230930459,20,Adults,6
Feminine,2004-09-29,2025-02-20,Asian,Not Hispanic,20.39654914289992,20,Adults,7
Feminine,2004-07-11,2025-02-09,Mixed Race,Not Hispanic,20.584991391571226,20,Adults,8
Feminine,2013-06-27,2025-02-08,White,Hispanic,11.61917808219178,11,Children,9
Masculine,2014-03-14,2025-03-04,White,Hispanic,10.972602739726028,10,Children,10
Feminine,2013-04-19,2025-02-08,Mixed Race,Not Hispanic,11.808219178082192,11,Children,11
Feminine,2013-04-19,2025-02-08,Mixed Race,Not Hispanic,11.808219178082192,11,Children,12
Feminine,2013-06-20,2025-02-13,Not Captured by Options,Hispanic,11.652054794520549,11,Children,13
Masculine,2008-07-09,2025-03-10,White,Not Hispanic,16.669907927240065,16,Adolescents,14
Masculine,2007-01-29,2025-03-09,Mixed Race,Not Reported,18.106849315068494,18,Adults,15
Feminine,2007-10-01,2025-03-01,White,Not Hispanic,17.413698630136988,17,Adolescents,16
Feminine,2008-05-14,2025-02-16,White,Not Hispanic,16.762639419118198,16,Adolescents,17
Feminine,2008-01-07,2025-02-18,White,Not Hispanic,17.115068493150684,17,Adolescents,18
Masculine,2008-03-27,2025-02-18,Not Reported,Hispanic,16.8992664121566,16,Adolescents,19
Masculine,2007-06-28,2025-02-18,White,Not Hispanic,17.643835616438356,17,Adolescents,20
Masculine,2007-02-22,2025-03-26,White,Not Hispanic,18.087671232876712,18,Adults,21
Masculine,2008-06-17,2025-02-16,Not Captured by Options,Not Hispanic,16.66974324425481,16,Adolescents,22
Feminine,2008-08-27,2025-02-18,White,Not Hispanic,16.481233625271354,16,Adolescents,23
Masculine,2007-11-27,2025-02-17,Black or African American,Not Hispanic,17.224657534246575,17,Adolescents,24
Feminine,2012-02-14,2025-02-25,White,Not Hispanic,13.03013698630137,13,Adolescents,25
Feminine,2008-04-21,2025-02-21,White,Not Reported,16.83917957930983,16,Adolescents,26
Feminine,2007-11-29,2025-02-20,White,Not Hispanic,17.22739726027397,17,Adolescents,27
Feminine,2007-01-04,2025-02-23,Not Captured by Options,Not Hispanic,18.136986301369863,18,Adults,28
Masculine,2010-07-16,2025-02-24,White,Not Hispanic,14.610958904109587,14,Adolescents,29
Masculine,2004-12-07,2025-02-21,Not Reported,Hispanic,20.21076427876338,20,Adults,30
Feminine,2009-04-06,2025-03-02,White,Not Hispanic,15.904109589041097,15,Adolescents,31
Feminine,2007-08-21,2025-03-20,Mixed Race,Not Hispanic,17.578082191780823,17,Adolescents,32
Feminine,2008-03-17,2025-02-28,White,Not Hispanic,16.953986076802156,16,Adolescents,33
Feminine,2008-02-18,2025-03-01,White,Not Hispanic,17.03013698630137,17,Adolescents,34
Feminine,2007-04-28,2025-02-27,White,Not Hispanic,17.835616438356166,17,Adolescents,35
Masculine,2004-10-07,2025-03-09,Black or African American,Not Hispanic,20.421266561868403,20,Adults,36
Feminine,2007-09-18,2025-03-11,White,Not Hispanic,17.476712328767125,17,Adolescents,37
Feminine,2007-08-20,2025-02-25,White,Not Hispanic,17.517808219178082,17,Adolescents,38
Feminine,2008-03-09,2025-03-01,White,Not Hispanic,16.97858372632682,16,Adolescents,39
Feminine,2008-12-22,2025-02-26,White,Not Hispanic,16.183479302342988,16,Adolescents,40
Masculine,2004-05-26,2025-03-04,Asian,Not Hispanic,20.77368815031065,20,Adults,41
Feminine,2009-10-19,2025-02-27,White,Not Hispanic,15.35890410958904,15,Adolescents,42
Masculine,2012-11-07,2025-03-03,White,Not Hispanic,12.320128752152108,12,Children,43
Feminine,2008-03-27,2025-03-09,White,Not Hispanic,16.951321206677147,16,Adolescents,44
Feminine,2007-01-12,2025-03-04,Asian,Not Hispanic,18.13972602739726,18,Adults,45
Feminine,2005-05-28,2025-03-05,White,Hispanic,19.76986301369863,19,Adults,46
Feminine,2006-10-22,2025-03-07,White,Hispanic,18.372602739726027,18,Adults,47
Masculine,2011-03-12,2025-03-04,Black or African American,Not Hispanic,13.97808219178082,13,Adolescents,48
Masculine,2011-06-07,2025-03-09,White,Not Hispanic,13.753424657534246,13,Adolescents,49
Masculine,2012-05-01,2025-03-07,Mixed Race,Not Hispanic,12.850213339321805,12,Children,50
Masculine,2011-02-21,2025-03-07,Mixed Race,Not Hispanic,14.03835616438356,14,Adolescents,51
Feminine,2004-08-04,2025-03-10,White,Hispanic,20.598869675873942,20,Adults,52
Feminine,2004-07-31,2025-03-04,White,Not Hispanic,20.593360281458192,20,Adults,53
Masculine,2012-01-18,2025-03-11,White,Not Hispanic,13.142465753424656,13,Adolescents,54
Masculine,2012-08-28,2025-03-08,Asian,Not Hispanic,12.527816453327343,12,Children,55
Feminine,2005-01-23,2025-03-05,Asian,Not Hispanic,20.112328767123287,20,Adults,56
Feminine,2004-07-08,2025-03-11,Asian,Not Hispanic,20.67537989370462,20,Adults,57
Feminine,2005-02-02,2025-03-08,Not Reported,Not Reported,20.09315068493151,20,Adults,58
Masculine,2010-02-26,2025-03-06,White,Not Hispanic,15.02191780821918,15,Adolescents,59
Masculine,2013-08-05,2025-03-15,White,Not Hispanic,11.60821917808219,11,Children,60
Masculine,2013-08-05,2025-03-11,White,Not Hispanic,11.597260273972603,11,Children,61
Masculine,2013-07-17,2025-03-06,White,Not Hispanic,11.635616438356164,11,Children,62
Masculine,2013-03-04,2025-03-15,Asian,Not Hispanic,12.03013698630137,12,Children,63
Masculine,2013-07-17,2025-03-08,White,Not Hispanic,11.64109589041096,11,Children,64
Masculine,2011-11-18,2025-03-16,White,Not Hispanic,13.323287671232876,13,Adolescents,65
Masculine,2012-04-28,2025-03-10,White,Not Hispanic,12.866629238715472,12,Children,66
Masculine,2012-05-25,2025-03-11,White,Not Hispanic,12.795598472939592,12,Children,67
Feminine,2014-05-06,2025-04-27,White,Not Hispanic,10.975342465753425,10,Children,68
Feminine,2010-04-19,2025-03-29,Not Captured by Options,Not Hispanic,14.942465753424658,14,Adolescents,69
Feminine,2009-06-02,2025-03-31,Mixed Race,Hispanic,15.827397260273973,15,Adolescents,70
Feminine,2012-04-10,2025-03-28,White,Not Hispanic,12.965124635077476,12,Children,71
Feminine,2011-09-17,2025-03-31,White,Not Hispanic,13.534246575342465,13,Adolescents,72
Feminine,2013-10-19,2025-03-29,White,Not Hispanic,11.441095890410958,11,Children,73
Masculine,2013-02-12,2025-04-14,White,Not Hispanic,12.167123287671233,12,Children,74
Masculine,2011-04-21,2025-03-29,White,Not Hispanic,13.936986301369863,13,Adolescents,75
Feminine,2011-07-10,2025-03-28,Mixed Race,Not Hispanic,13.715068493150683,13,Adolescents,76
Feminine,2011-11-02,2025-04-12,Mixed Race,Hispanic,13.441095890410958,13,Adolescents,77
