fos_total,StudyID
42,9
42,24
36,56
38,64
37,66
38,68
40,74
36,82
54,89
38,111
54,119
26,125
52,129
51,130
40,140
55,141
36,143
48,146
42,155
51,1
54,3
45,22
50,33
52,37
38,43
33,51
46,58
38,67
44,69
44,77
50,83
40,86
49,95
49,96
50,103
51,116
39,121
51,131
49,117
32,2
39,6
49,10
41,19
54,26
54,45
38,48
31,50
42,57
40,73
46,78
42,90
45,91
39,97
50,104
55,112
44,132
53,133
40,4
49,8
49,18
40,21
45,34
45,36
42,38
42,42
39,46
50,55
41,62
36,75
51,79
53,87
41,105
53,120
47,122
44,134
47,126
41,14
36,20
54,27
52,28
38,35
41,47
52,70
40,85
47,101
36,102
43,109
40,113
40,118
51,135
43,137
42,142
48,148
49,153
48,157
34,158
50,159
45,107
44,161
31,12
53,15
31,17
49,30
50,39
52,53
35,54
42,71
45,80
42,84
43,92
47,93
51,94
46,98
43,99
31,100
35,106
44,110
30,127
39,128
52,11
52,23
52,31
32,41
48,44
44,52
40,59
38,61
34,65
52,72
30,108
49,123
46,144
34,145
37,149
51,150
42,154
40,160
37,7
39,13
51,16
44,25
39,29
53,32
37,40
38,49
49,60
57,63
45,152
41,76
41,81
27,114
36,115
48,124
53,136
53,138
43,139
47,147
48,151
44,156
