Range,StudyID
53,9
38,24
99,56
99,64
78,66
98,68
73,74
62,82
92,89
99,111
99,119
96,125
99,129
87,130
93,140
54,141
85,143
71,146
12,155
95,1
96,3
65,22
87,33
90,37
75,43
99,51
18,58
99,67
82,69
53,77
64,83
93,86
89,95
5,96
100,103
99,116
97,121
61,131
75,117
45,2
84,6
99,10
74,19
31,26
12,45
99,48
79,50
80,57
95,73
73,78
67,90
98,91
99,97
92,104
99,112
56,132
99,133
97,4
98,8
97,18
40,21
97,34
78,36
79,38
81,42
62,46
94,55
59,62
89,75
89,79
92,87
77,105
73,120
99,122
74,134
75,126
60,14
80,20
62,27
93,28
64,35
98,47
98,70
40,85
83,101
99,102
96,109
99,113
88,118
75,135
99,137
79,142
68,148
89,153
58,157
65,158
27,159
99,107
77,161
70,12
98,15
99,17
87,30
84,39
61,53
91,54
39,71
23,80
47,84
99,92
99,93
79,94
87,98
61,99
85,100
97,106
58,110
72,127
21,128
98,11
56,23
73,31
99,41
82,44
76,52
88,59
99,61
90,65
53,72
96,108
77,123
74,144
93,145
24,149
78,150
48,154
97,160
93,7
77,13
73,16
92,25
94,29
44,32
63,40
54,49
73,60
91,63
98,152
93,76
99,81
92,114
94,115
32,124
82,136
59,138
95,139
98,147
74,151
21,156
