FamilyIncome,ParentEducation,FamilyIncomeSimp,ParentEducationSimp,MacArthur1,MacArthur2,StudyID
"$25,000 through $49,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",25k-50k,Postgrad.,5,7,9
"$100,000 through $199,999","Doctoral degree (e.g., PhD, EdD)",100k-200k,Postgrad.,7,7,24
"$100,000 through $199,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",100k-200k,Bach.,7,7,56
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,7,7,64
"$100,000 through $199,999","Doctoral degree (e.g., PhD, EdD)",100k-200k,Postgrad.,7,8,66
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,9,8,68
"$100,000 through $199,999","Doctoral degree (e.g., PhD, EdD)",100k-200k,Postgrad.,6,9,74
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,8,9,82
"$50,000 through $74,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",50k-75k,Bach.,5,6,89
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,7,6,111
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,8,7,119
"$75,000 through $99,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",75k-100k,Bach.,7,9,125
"$200,000 or more","Professional school degree (e.g., MD, DDS, DVM, JD)",>200k,Postgrad.,7,4,129
"$200,000 or more","Professional school degree (e.g., MD, DDS, DVM, JD)",>200k,Postgrad.,8,7,130
"$100,000 through $199,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",100k-200k,Postgrad.,8,7,140
Unknown,"Master's degree (e.g., MA, MS, MEng, MEd, MBA)",Unknown,Postgrad.,7,9,141
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,10,10,143
"$100,000 through $199,999","Doctoral degree (e.g., PhD, EdD)",100k-200k,Postgrad.,9,9,146
"$75,000 through $99,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",75k-100k,Bach.,6,6,155
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,9,6,1
"$50,000 through $74,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",50k-75k,Postgrad.,5,8,3
Unknown,"Doctoral degree (e.g., PhD, EdD)",Unknown,Postgrad.,7,8,5
"$100,000 through $199,999","Professional school degree (e.g., MD, DDS, DVM, JD)",100k-200k,Postgrad.,8,7,22
"$100,000 through $199,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",100k-200k,Bach.,5,8,33
"$100,000 through $199,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",100k-200k,Postgrad.,6,8,37
"Less than $25,000","Professional school degree (e.g., MD, DDS, DVM, JD)",<25k,Postgrad.,6,7,43
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,7,6,51
Unknown,"Bachelor's degree (e.g., BA, AB, BS, BBA)",Unknown,Bach.,3,4,58
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,8,6,67
"$200,000 or more","Professional school degree (e.g., MD, DDS, DVM, JD)",>200k,Postgrad.,7,7,69
"$200,000 or more","Professional school degree (e.g., MD, DDS, DVM, JD)",>200k,Postgrad.,7,8,77
"$100,000 through $199,999","Doctoral degree (e.g., PhD, EdD)",100k-200k,Postgrad.,6,8,83
Unknown,"Doctoral degree (e.g., PhD, EdD)",Unknown,Postgrad.,7,9,86
"$50,000 through $74,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",50k-75k,Bach.,5,7,95
"$100,000 through $199,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",100k-200k,Postgrad.,8,8,96
"$75,000 through $99,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",75k-100k,Bach.,7,9,103
"$75,000 through $99,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",75k-100k,Bach.,5,9,116
"$100,000 through $199,999","Doctoral degree (e.g., PhD, EdD)",100k-200k,Postgrad.,6,9,121
"$50,000 through $74,999","Some college, no degree",50k-75k,Some Coll.,5,5,131
"$25,000 through $49,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",25k-50k,Bach.,6,8,117
