Amount,Report,StudyID
$10,14,9
$100,54,9
$20,32,9
$200,72,9
$10,11,24
$100,28,24
$20,16,24
$200,44,24
$10,24,56
$100,87,56
$20,35,56
$200,100,56
$10,27,64
$100,88,64
$20,49,64
$200,100,64
$10,4,66
$100,38,66
$20,10,66
$200,69,66
$10,11,68
$100,26,68
$20,17,68
$200,40,68
$10,35,74
$100,67,74
$20,52,74
$200,81,74
$10,10,82
$100,48,82
$20,24,82
$200,67,82
$10,20,89
$100,60,89
$20,35,89
$200,91,89
$10,7,111
$100,65,111
$20,19,111
$200,80,111
$10,4,119
$100,19,119
$20,7,119
$200,37,119
$10,9,125
$100,84,125
$20,18,125
$200,100,125
$10,5,129
$100,49,129
$20,14,129
$200,100,129
$10,10,130
$100,46,130
$20,17,130
$200,69,130
$10,20,140
$100,80,140
$20,28,140
$200,97,140
$10,2,141
$100,6,141
$20,5,141
$200,10,141
$10,24,143
$100,86,143
$20,50,143
$200,100,143
$10,19,146
$100,56,146
$20,38,146
$200,86,146
$10,15,155
$100,100,155
$20,8,155
$200,99,155
$10,4,1
$100,24,1
$20,11,1
$200,42,1
$10,15,3
$100,100,3
$20,30,3
$200,100,3
$10,28,22
$100,79,22
$20,51,22
$200,100,22
$10,3,33
$100,16,33
$20,7,33
$200,36,33
$10,1,37
$100,21,37
$20,3,37
$200,38,37
$10,37,43
$100,79,43
$20,51,43
$200,90,43
$10,3,51
$100,39,51
$20,8,51
$200,58,51
$10,1,58
$100,8,58
$20,3,58
$200,16,58
$10,50,67
$100,100,67
$20,66,67
$200,100,67
$10,13,69
$100,47,69
$20,26,69
$200,70,69
$10,7,77
$100,39,77
$20,15,77
$200,67,77
$10,12,83
$100,40,83
$20,14,83
$200,47,83
$10,9,86
$100,53,86
$20,18,86
$200,76,86
$10,19,95
$100,60,95
$20,32,95
$200,98,95
$10,1,96
$100,15,96
$20,3,96
$200,26,96
$10,0,103
$100,100,103
$20,0,103
$200,100,103
$10,15,116
$100,62,116
$20,31,116
$200,93,116
$10,24,121
$100,61,121
$20,42,121
$200,94,121
$10,11,131
$100,69,131
$20,26,131
$200,88,131
$10,18,117
$100,56,117
$20,35,117
$200,73,117
$10,4,2
$100,21,2
$20,9,2
$200,45,2
$10,11,6
$100,82,6
$20,20,6
$200,95,6
$10,4,10
$100,31,10
$20,7,10
$200,46,10
$10,40,19
$100,50,19
$20,46,19
$200,64,19
$10,9,26
$100,54,26
$20,24,26
$200,74,26
$10,34,45
$100,66,45
$20,43,45
$200,94,45
$10,12,48
$100,62,48
$20,17,48
$200,75,48
$10,11,50
$100,42,50
$20,22,50
$200,72,50
$10,9,57
$100,71,57
$20,16,57
$200,92,57
$10,17,73
$100,66,73
$20,33,73
$200,91,73
$10,28,78
$100,82,78
$20,39,78
$200,95,78
$10,13,90
$100,45,90
$20,24,90
$200,72,90
$10,8,91
$100,48,91
$20,16,91
$200,100,91
$10,7,97
$100,34,97
$20,14,97
$200,71,97
$10,6,104
$100,57,104
$20,14,104
$200,93,104
$10,51,112
$100,100,112
$20,20,112
$200,100,112
$10,10,132
$100,73,132
$20,33,132
$200,100,132
$10,13,133
$100,91,133
$20,25,133
$200,100,133
$10,50,4
$100,96,4
$20,80,4
$200,98,4
$10,28,8
$100,75,8
$20,45,8
$200,100,8
$10,14,18
$100,74,18
$20,30,18
$200,89,18
$10,7,21
$100,46,21
$20,14,21
$200,78,21
$10,7,34
$100,74,34
$20,23,34
$200,98,34
$10,19,36
$100,100,36
$20,47,36
$200,100,36
$10,24,38
$100,74,38
$20,45,38
$200,92,38
$10,7,42
$100,71,42
$20,11,42
$200,96,42
$10,4,46
$100,48,46
$20,12,46
$200,68,46
$10,18,55
$100,61,55
$20,33,55
$200,100,55
$10,10,62
$100,38,62
$20,19,62
$200,87,62
$10,36,75
$100,84,75
$20,60,75
$200,100,75
$10,6,79
$100,64,79
$20,15,79
$200,86,79
$10,6,87
$100,47,87
$20,12,87
$200,94,87
$10,2,105
$100,33,105
$20,5,105
$200,76,105
$10,19,120
$100,64,120
$20,30,120
$200,91,120
$10,7,122
$100,33,122
$20,14,122
$200,50,122
$10,16,134
$100,63,134
$20,27,134
$200,74,134
$10,14,126
$100,37,126
$20,22,126
$200,50,126
$10,10,14
$100,45,14
$20,20,14
$200,65,14
$10,10,20
$100,65,20
$20,61,20
$200,98,20
$10,19,27
$100,59,27
$20,27,27
$200,65,27
$10,54,28
$100,100,28
$20,68,28
$200,100,28
$10,3,35
$100,79,35
$20,11,35
$200,91,35
$10,19,47
$100,80,47
$20,35,47
$200,100,47
$10,4,70
$100,19,70
$20,7,70
$200,39,70
$10,12,85
$100,38,85
$20,21,85
$200,56,85
$10,10,101
$100,57,101
$20,21,101
$200,96,101
$10,2,102
$100,11,102
$20,3,102
$200,23,102
$10,61,109
$100,100,109
$20,74,109
$200,100,109
$10,6,113
$100,46,113
$20,24,113
$200,100,113
$10,27,118
$100,79,118
$20,40,118
$200,94,118
$10,5,135
$100,26,135
$20,10,135
$200,41,135
$10,28,137
$100,100,137
$20,62,137
$200,100,137
$10,10,142
$100,28,142
$20,18,142
$200,51,142
$10,23,148
$100,75,148
$20,28,148
$200,97,148
$10,20,153
$100,87,153
$20,29,153
$200,100,153
$10,53,157
$100,96,157
$20,73,157
$200,99,157
$10,6,158
$100,35,158
$20,8,158
$200,59,158
$10,4,159
$100,16,159
$20,8,159
$200,31,159
$10,53,107
$100,99,107
$20,71,107
$200,100,107
$10,7,161
$100,27,161
$20,20,161
$200,55,161
$10,32,12
$100,86,12
$20,61,12
$200,95,12
$10,13,15
$100,69,15
$20,30,15
$200,95,15
$10,24,17
$100,56,17
$20,32,17
$200,69,17
$10,12,30
$100,68,30
$20,17,30
$200,90,30
$10,2,39
$100,19,39
$20,6,39
$200,31,39
$10,6,53
$100,39,53
$20,20,53
$200,57,53
$10,4,54
$100,88,54
$20,15,54
$200,100,54
$10,2,71
$100,15,71
$20,4,71
$200,16,71
$10,36,80
$100,63,80
$20,46,80
$200,67,80
$10,56,84
$100,70,84
$20,62,84
$200,82,84
$10,9,92
$100,50,92
$20,22,92
$200,100,92
$10,14,93
$100,49,93
$20,28,93
$200,61,93
$10,16,94
$100,69,94
$20,33,94
$200,92,94
$10,35,98
$100,78,98
$20,49,98
$200,91,98
$10,16,99
$100,74,99
$20,35,99
$200,75,99
$10,9,100
$100,37,100
$20,17,100
$200,77,100
$10,5,106
$100,50,106
$20,11,106
$200,100,106
$10,10,110
$100,44,110
$20,26,110
$200,69,110
$10,10,127
$100,54,127
$20,20,127
$200,100,127
$10,16,128
$100,55,128
$20,46,128
$200,71,128
$10,11,11
$100,48,11
$20,26,11
$200,99,11
$10,46,23
$100,85,23
$20,61,23
$200,100,23
$10,12,31
$100,48,31
$20,16,31
$200,75,31
$10,6,41
$100,50,41
$20,12,41
$200,99,41
$10,2,44
$100,59,44
$20,15,44
$200,80,44
$10,20,52
$100,41,52
$20,24,52
$200,70,52
$10,35,59
$100,82,59
$20,47,59
$200,94,59
$10,17,61
$100,53,61
$20,34,61
$200,100,61
$10,49,65
$100,75,65
$20,56,65
$200,100,65
$10,5,72
$100,17,72
$20,12,72
$200,38,72
$10,12,108
$100,72,108
$20,20,108
$200,91,108
$10,13,123
$100,42,123
$20,23,123
$200,72,123
$10,8,144
$100,49,144
$20,23,144
$200,63,144
$10,48,145
$100,88,145
$20,67,145
$200,100,145
$10,6,149
$100,15,149
$20,9,149
$200,22,149
$10,10,150
$100,33,150
$20,20,150
$200,57,150
$10,4,154
$100,13,154
$20,7,154
$200,24,154
$10,27,160
$100,70,160
$20,48,160
$200,89,160
$10,4,7
$100,74,7
$20,5,7
$200,82,7
$10,62,13
$100,100,13
$20,72,13
$200,100,13
$10,18,16
$100,72,16
$20,27,16
$200,95,16
$10,44,25
$100,90,25
$20,55,25
$200,97,25
$10,12,29
$100,61,29
$20,23,29
$200,93,29
$10,8,32
$100,29,32
$20,19,32
$200,43,32
$10,7,40
$100,48,40
$20,13,40
$200,100,40
$10,2,49
$100,29,49
$20,7,49
$200,54,49
$10,7,60
$100,49,60
$20,13,60
$200,100,60
$10,6,63
$100,54,63
$20,25,63
$200,77,63
$10,15,152
$100,42,152
$20,27,152
$200,79,152
$10,3,76
$100,97,76
$20,8,76
$200,95,76
$10,3,81
$100,55,81
$20,11,81
$200,100,81
$10,30,114
$100,85,114
$20,36,114
$200,94,114
$10,4,115
$100,88,115
$20,24,115
$200,99,115
$10,15,124
$100,64,124
$20,29,124
$200,93,124
$10,28,136
$100,57,136
$20,46,136
$200,82,136
$10,6,138
$100,27,138
$20,11,138
$200,50,138
$10,15,139
$100,87,139
$20,29,139
$200,97,139
$10,9,147
$100,72,147
$20,27,147
$200,100,147
$10,28,151
$100,84,151
$20,56,151
$200,100,151
$10,29,156
$100,51,156
$20,39,156
$200,77,156
