Length,Report,StudyID
tomorrow,2,9
1 week,5,9
1 month,11,9
3 months,31,9
6 months,36,9
1 year,55,9
tomorrow,1,24
1 week,5,24
1 month,13,24
3 months,19,24
6 months,29,24
1 year,39,24
tomorrow,1,56
1 week,60,56
1 month,78,56
3 months,69,56
6 months,100,56
1 year,100,56
tomorrow,1,64
1 week,1,64
1 month,9,64
3 months,26,64
6 months,53,64
1 year,100,64
tomorrow,2,66
1 week,4,66
1 month,20,66
3 months,36,66
6 months,53,66
1 year,80,66
tomorrow,2,68
1 week,4,68
1 month,11,68
3 months,34,68
6 months,66,68
1 year,100,68
tomorrow,4,74
1 week,8,74
1 month,16,74
3 months,31,74
6 months,58,74
1 year,77,74
tomorrow,3,82
1 week,11,82
1 month,15,82
3 months,24,82
6 months,34,82
1 year,65,82
tomorrow,8,89
1 week,21,89
1 month,42,89
3 months,67,89
6 months,83,89
1 year,100,89
tomorrow,1,111
1 week,14,111
1 month,30,111
3 months,40,111
6 months,58,111
1 year,100,111
tomorrow,1,119
1 week,2,119
1 month,8,119
3 months,24,119
6 months,47,119
1 year,100,119
tomorrow,4,125
1 week,23,125
1 month,12,125
3 months,35,125
6 months,49,125
1 year,100,125
tomorrow,1,129
1 week,3,129
1 month,8,129
3 months,21,129
6 months,49,129
1 year,100,129
tomorrow,1,130
1 week,7,130
1 month,20,130
3 months,33,130
6 months,56,130
1 year,88,130
tomorrow,2,140
1 week,18,140
1 month,29,140
3 months,53,140
6 months,77,140
1 year,95,140
tomorrow,1,141
1 week,1,141
1 month,4,141
3 months,16,141
6 months,27,141
1 year,55,141
tomorrow,12,143
1 week,34,143
1 month,69,143
3 months,85,143
6 months,92,143
1 year,97,143
tomorrow,8,146
1 week,10,146
1 month,21,146
3 months,42,146
6 months,55,146
1 year,79,146
tomorrow,43,155
1 week,57,155
1 month,43,155
3 months,44,155
6 months,50,155
1 year,55,155
tomorrow,2,1
1 week,15,1
1 month,39,1
3 months,53,1
6 months,74,1
1 year,97,1
tomorrow,4,3
1 week,39,3
1 month,54,3
3 months,82,3
6 months,93,3
1 year,100,3
tomorrow,1,22
1 week,8,22
1 month,33,22
3 months,56,22
6 months,58,22
1 year,66,22
tomorrow,6,33
1 week,11,33
1 month,28,33
3 months,58,33
6 months,72,33
1 year,93,33
tomorrow,1,37
1 week,2,37
1 month,31,37
3 months,33,37
6 months,57,37
1 year,91,37
tomorrow,4,43
1 week,9,43
1 month,19,43
3 months,43,43
6 months,56,43
1 year,79,43
tomorrow,1,51
1 week,7,51
1 month,22,51
3 months,56,51
6 months,74,51
1 year,100,51
tomorrow,1,58
1 week,5,58
1 month,9,58
3 months,11,58
6 months,14,58
1 year,19,58
tomorrow,1,67
1 week,6,67
1 month,30,67
3 months,34,67
6 months,54,67
1 year,100,67
tomorrow,18,69
1 week,32,69
1 month,46,69
3 months,68,69
6 months,78,69
1 year,100,69
tomorrow,2,77
1 week,5,77
1 month,10,77
3 months,18,77
6 months,32,77
1 year,55,77
tomorrow,9,83
1 week,28,83
1 month,34,83
3 months,48,83
6 months,61,83
1 year,73,83
tomorrow,2,86
1 week,9,86
1 month,30,86
3 months,54,86
6 months,83,86
1 year,95,86
tomorrow,1,95
1 week,5,95
1 month,16,95
3 months,24,95
6 months,46,95
1 year,90,95
tomorrow,1,96
1 week,1,96
1 month,2,96
3 months,3,96
6 months,5,96
1 year,6,96
tomorrow,0,103
1 week,0,103
1 month,0,103
3 months,100,103
6 months,100,103
1 year,100,103
tomorrow,1,116
1 week,4,116
1 month,11,116
3 months,26,116
6 months,51,116
1 year,100,116
tomorrow,2,121
1 week,6,121
1 month,13,121
3 months,27,121
6 months,65,121
1 year,99,121
tomorrow,1,131
1 week,5,131
1 month,15,131
3 months,15,131
6 months,33,131
1 year,62,131
tomorrow,2,117
1 week,4,117
1 month,9,117
3 months,31,117
6 months,40,117
1 year,77,117
tomorrow,1,2
1 week,2,2
1 month,7,2
3 months,14,2
6 months,27,2
1 year,46,2
tomorrow,3,6
1 week,8,6
1 month,21,6
3 months,37,6
6 months,60,6
1 year,87,6
tomorrow,1,10
1 week,7,10
1 month,34,10
3 months,71,10
6 months,100,10
1 year,100,10
tomorrow,4,19
1 week,8,19
1 month,14,19
3 months,31,19
6 months,44,19
1 year,78,19
tomorrow,1,26
1 week,3,26
1 month,4,26
3 months,7,26
6 months,11,26
1 year,32,26
tomorrow,1,45
1 week,1,45
1 month,3,45
3 months,5,45
6 months,6,45
1 year,13,45
tomorrow,1,48
1 week,26,48
1 month,41,48
3 months,48,48
6 months,66,48
1 year,100,48
tomorrow,2,50
1 week,9,50
1 month,19,50
3 months,35,50
6 months,58,50
1 year,81,50
tomorrow,1,57
1 week,10,57
1 month,28,57
3 months,23,57
6 months,47,57
1 year,81,57
tomorrow,5,73
1 week,27,73
1 month,42,73
3 months,62,73
6 months,88,73
1 year,100,73
tomorrow,2,78
1 week,7,78
1 month,12,78
3 months,21,78
6 months,40,78
1 year,75,78
tomorrow,4,90
1 week,13,90
1 month,17,90
3 months,23,90
6 months,34,90
1 year,71,90
tomorrow,2,91
1 week,7,91
1 month,15,91
3 months,29,91
6 months,50,91
1 year,100,91
tomorrow,1,97
1 week,2,97
1 month,8,97
3 months,37,97
6 months,68,97
1 year,100,97
tomorrow,1,104
1 week,1,104
1 month,20,104
3 months,38,104
6 months,78,104
1 year,93,104
tomorrow,1,112
1 week,6,112
1 month,5,112
3 months,23,112
6 months,51,112
1 year,100,112
tomorrow,1,132
1 week,2,132
1 month,5,132
3 months,16,132
6 months,32,132
1 year,57,132
tomorrow,1,133
1 week,2,133
1 month,9,133
3 months,19,133
6 months,47,133
1 year,100,133
tomorrow,3,4
1 week,39,4
1 month,82,4
3 months,35,4
6 months,96,4
1 year,100,4
tomorrow,2,8
1 week,15,8
1 month,23,8
3 months,44,8
6 months,68,8
1 year,100,8
tomorrow,2,18
1 week,7,18
1 month,13,18
3 months,32,18
6 months,53,18
1 year,99,18
tomorrow,0,21
1 week,7,21
1 month,13,21
3 months,25,21
6 months,32,21
1 year,40,21
tomorrow,3,34
1 week,28,34
1 month,36,34
3 months,43,34
6 months,67,34
1 year,100,34
tomorrow,22,36
1 week,50,36
1 month,82,36
3 months,95,36
6 months,100,36
1 year,100,36
tomorrow,9,38
1 week,30,38
1 month,34,38
3 months,48,38
6 months,71,38
1 year,88,38
tomorrow,3,42
1 week,13,42
1 month,22,42
3 months,40,42
6 months,58,42
1 year,84,42
tomorrow,1,46
1 week,3,46
1 month,5,46
3 months,13,46
6 months,33,46
1 year,63,46
tomorrow,1,55
1 week,7,55
1 month,10,55
3 months,25,55
6 months,55,55
1 year,95,55
tomorrow,1,62
1 week,2,62
1 month,6,62
3 months,18,62
6 months,43,62
1 year,60,62
tomorrow,6,75
1 week,16,75
1 month,35,75
3 months,53,75
6 months,83,75
1 year,95,75
tomorrow,2,79
1 week,8,79
1 month,30,79
3 months,47,79
6 months,64,79
1 year,91,79
tomorrow,2,87
1 week,5,87
1 month,5,87
3 months,23,87
6 months,55,87
1 year,94,87
tomorrow,1,105
1 week,7,105
1 month,8,105
3 months,20,105
6 months,40,105
1 year,78,105
tomorrow,2,120
1 week,6,120
1 month,14,120
3 months,29,120
6 months,50,120
1 year,75,120
tomorrow,1,122
1 week,21,122
1 month,47,122
3 months,72,122
6 months,90,122
1 year,100,122
tomorrow,1,134
1 week,5,134
1 month,12,134
3 months,26,134
6 months,45,134
1 year,75,134
tomorrow,2,126
1 week,13,126
1 month,20,126
3 months,35,126
6 months,54,126
1 year,77,126
tomorrow,2,14
1 week,6,14
1 month,14,14
3 months,25,14
6 months,36,14
1 year,62,14
tomorrow,20,20
1 week,30,20
1 month,41,20
3 months,54,20
6 months,79,20
1 year,100,20
tomorrow,7,27
1 week,23,27
1 month,25,27
3 months,30,27
6 months,43,27
1 year,69,27
